S,Feedback,Sentiment
899,The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,1
352,"Comfortable, Nice Range, Good Battery Life.",1
901,Terrible phone holder.,0
982,don't waste your money.,0
321,I ordered this product first and was unhappy with it immediately.,0
112,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1
165,Great Value.,1
555,It's AGGRAVATING!,0
22,The commercials are the most misleading.,0
184,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0
123,Bad Quality.,0
279,Comfort for our whole family.,1
409,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0
417,This is the first phone I've had that has been so cheaply made.,0
611,clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,1
454,I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0
874,Good Quality.,1
575,"I can barely ever hear on it and am constantly saying ""what?""",0
577,That company is a joke.,0
368,Love This Phone.,1
243,"No additional ear gels provided, and no instructions whatsoever.",0
31,This product is ideal for people like me whose ears are very sensitive.,1
559,"None of it works, just don't buy it.",0
402,Excellent product for the price.,1
650,Battery is terrible.,0
158,And I just love the colors!,1
911,So I bought about 10 of these and saved alot of money.,1
799,I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,0
810,Improper description.... I had to return it.,0
95,Will order from them again!,1
247,Nice headphones for the price and they work great!,1
497,Save your money.... I've had this item for 11 months now.,0
338,"It was an inexpensive piece, but I would still have expected better quality.",0
430,Fantastic earphones.,1
998,The only thing that disappoint me is the infra red port (irda).,0
188,Waste of 13 bucks.,0
704,So just beware.,0
992,Lasted one day and then blew up.,0
915,So I had to take the battery out of the phone put it all back together and then restart it.,0
101,"Buyer Beware, you could flush money right down the toilet.",0
935,"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",0
757,The nano stated it.My son was dissapointed.,0
749,.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,1
598,This is a great phone!.,1
411,I highly recommend this device to everyone!,1
644,"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.",0
347,Good audio quality.,1
69,This device is great in several situations:1.),1
341,Was not happy.,0
468,I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0
90,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0
892,Excellent product for the price.,1
325,"good item, low price.",1
750,"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",1
400,what a disappointment,0
344,Worst customer service.,0
342,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0
398,"Sounds good reasonably priced and effective, Its that simple !",1
476,"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",0
697,It doesn't make you look cool.,0
280,"Good product, good seller.",1
797,A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,1
317,This is definitely a must have if your state does not allow cell phone usage while driving.,1
922,Happy so far!.,1
401,Very prompt service.,1
199,"useless phone, simply deaf.",0
776,I highly recommend this case.,1
645,Linksys should have some way to exchange a bad phone for a refurb unit or something!,0
876,Excellent dual-purpose headset.,1
772,"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",0
77,This is a great little item.,1
794,"The internet access was fine, it the rare instance that it worked.",0
260,Good product - incredible value.,1
949,I had to purchase a different case.,0
418,"Att is not clear, sound is very distorted and you have to yell when you talk.",0
185,Incredible!.,1
15,Highly recommend for any one who has a blue tooth phone.,1
624,All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,1
788,"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",1
160,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0
807,The reception through this headset is excellent.,1
700,"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",0
307,"As many people complained, I found this headset's microphone was very weak.",0
723,Think it over when you plan to own this one!This sure is the last MOTO phone for me!,0
945,It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1
902,The cutouts and buttons are placed perfectly.,1
358,The phone gets EXTREMELY HOT!,0
552,Its a total package.,1
85,The headsets are easy to use and everyone loves them.,1
393,"Excellent product, I am very satisfied with the purchase.",1
823,They keep getting better and better (this is my third one and I've had numerous Palms too).,1
477,The volume switch rocketed out of the unit to a destination unknown.,0
392,This is a great deal.,1
6,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0
538,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1
973,Lousy product.,0
975,It is the best charger I have seen on the market yet.,1
450,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1
542,"Perhaps my phone is defective, but people cannot hear me when I use this.",0
207,I've had this for nearly 2 years and it has worked great for me.,1
457,Nice solid keyboard.,1
196,You'll love how thin it is.,1
597,A pretty good product.,1
528,No real improvement.,0
135,The majority of the Logitech earbud headsets failed.,0
278,"Best of all is the rotating feature, very helpful.",1
311,The instruction manual is lacking.,0
544,"sucked, most of the stuff does not work with my phone.",0
470,"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1
603,I am more than happy with this product.,1
120,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1
210,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0
75,Love this product.,1
414,After a year the battery went completely dead on my headset.,0
463,Disappointed!.,0
692,"I have to use the smallest earpieces provided, but it stays on pretty well.",1
208,Good transmit audio.,1
126,Basically the service was very bad.,0
365,awesome device.,1
63,Buy a different phone - but not this.,0
504,I wear glasses and it fits fine with them.,1
724,"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",1
619,Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,1
316,We have gotten a lot of compliments on it.,1
357,"First off the reception sucks, I have never had more than 2 bars, ever.",0
408,Plantronics Bluetooth Excelent Buy.,1
675,Can't upload ringtones from a third party.,0
107,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1
977,":-)Oh, the charger seems to work fine.",1
410,I'll be looking for a new earpiece.,0
520,My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0
334,"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1
448,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1
685,Easy to pair with my Samsung Cell.,1
99,I'm very disappointed with my decision.,0
449,There's really nothing bad I can say about this headset.,0
177,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0
390,Exactly what I wanted.,1
152,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1
627,This phone might well be the worst I've ever had in any brand.,0
925,Motorola finally got the voice quality of a bluetooth headset right.,1
57,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1
439,"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0
939,"I like the fact that it rests lightly against your ear, rather than inside.",1
501,This battery is an excellent bargain!,1
179,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0
499,WELL IM SATISFIED.,1
4,The mic is great.,1
373,The worst phone I've ever had.... Only had it for a few months.,0
66,"A week later after I activated it, it suddenly died.",0
885,"When it opens, the battery connection is broken and the device is turned off.",0
96,If you plan to use this in a car forget about it.,0
941,I have tried these cables with my computer and my iPod and it works just fine.,1
972,Earbud piece breaks easily.,0
469,"Looks great and is strong.""",1
715,The phone crashed completely and now I have to get it replaced.,0
269,Love this headset!,1
698,"Because both ears are occupied, background is not distracting at all.",1
72,Great choice!,1
174,The file browser offers all the options that one needs.Handsfree is great.,1
216,I would recommend this.,1
94,Dont waste your money...,0
652,The earpiece on this is too large or too heavy...it keeps falling out of my ear.,0
660,This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,0
604,Poor Construction.,0
516,I am very impressed with the job that Motorola did on the sturdiness of this phone.,1
695,Do NOT buy if you want to use the holster.,0
866,It's been my choice headset for years.Great sound.  good volume.  good noise cancellation.,1
524,Works great!.,1
308,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0
843,"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",0
132,Headset works great & was packaged nicely to avoid any damage.,1
720,"Good value, works fine - power via USB, car, or wall outlet.",1
863,"I have only had it for a few weeks, but so far, so good.",1
433,I highly recommend this modest priced cellular phone.,1
539,none of the new ones have ever quite worked properly.,0
907,How stupid is that?,0
419,The plastic breaks really easy on this clip.,0
699,"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",1
669,Setup went very smoothly.,1
817,Gets a signal when other Verizon phones won't.,1
416,An Awesome New Look For Fall 2000!.,1
30,"This is a simple little phone to use, but the breakage is unacceptible.",0
458,Very well made and fits my Surefire GX2 perfectly.,1
181,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0
534,Great case and price!,1
607,Sprint charges for this service.,0
996,What a piece of junk.. I lose more calls on this phone.,0
21,I bought this to use with my Kindle Fire and absolutely loved it!,1
997,Item Does Not Match Picture.,0
912,It always cuts out and makes a beep beep beep sound then says signal failed.,0
153,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1
273,I gave it 5 stars because of the sound quality.,1
218,WORST PHONE EVER.,0
331,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1
718,It was a great phone.,1
647,Great phone.,1
641,Very wind-resistant.,1
180,Don't buy this product.,0
376,Protects the phone on all sides.,1
722,This is simply the BEST bluetooth headset for sound quality!,1
397,Great product and price.,1
36,It has kept up very well.,1
56,VERY DISAPPOINTED.,0
451,Portable and it works.,1
547,Trying to make a call on these is an exercise in frustration.,0
